# UNIT ECONOMICS — Lumio Copiloto (Track B) — premissas grill 2026-06-25
# Preco/assento=R$40 | assentos/empresa=3 | ARPA=R$120/empresa/mes | churn base=5%/mes
"# var_pago=R$2,50/assento | var_free=R$1,80/usuario | fixo=R$600/mes  [todos VALIDAR]"

SHEET 1 — MODELO MENSAL (meses 1-36)
mes,empresas_pagantes,assentos_pagos,MRR_R$,custo_var_pago_R$,usuarios_free,custo_free_R$,custo_fixo_R$,margem_so_pago_R$,margem_pct_so_pago,margem_liq_incl_free_R$,margem_pct_liq_incl_free
1,1,3,120,8,0,0,600,-488,-406.2%,-488,-406.2%
2,1,3,120,8,5,9,600,-488,-406.2%,-496,-413.8%
3,2,6,240,15,12,22,600,-375,-156.2%,-397,-165.2%
4,3,9,360,22,20,36,600,-262,-72.9%,-298,-82.9%
5,4,12,480,30,30,54,600,-150,-31.2%,-204,-42.5%
6,5,15,600,38,40,72,600,-38,-6.2%,-110,-18.2%
7,6,18,720,45,52,94,600,75,10.4%,-19,-2.6%
8,7,21,840,52,64,115,600,188,22.3%,72,8.6%
9,8,24,960,60,76,137,600,300,31.2%,163,17.0%
10,9,27,1080,68,85,153,600,412,38.2%,260,24.0%
11,9,27,1080,68,93,167,600,412,38.2%,245,22.7%
12,10,30,1200,75,100,180,600,525,43.8%,345,28.7%
13,12,36,1440,90,130,234,600,750,52.1%,516,35.8%
14,15,45,1800,112,160,288,600,1088,60.4%,800,44.4%
15,17,51,2040,128,195,351,600,1312,64.3%,962,47.1%
16,20,60,2400,150,230,414,600,1650,68.8%,1236,51.5%
17,22,66,2640,165,270,486,600,1875,71.0%,1389,52.6%
18,25,75,3000,188,310,558,600,2212,73.8%,1654,55.1%
19,27,81,3240,202,350,630,600,2438,75.2%,1808,55.8%
20,30,90,3600,225,390,702,600,2775,77.1%,2073,57.6%
21,32,96,3840,240,425,765,600,3000,78.1%,2235,58.2%
22,35,105,4200,262,455,819,600,3338,79.5%,2518,60.0%
23,37,111,4440,278,480,864,600,3562,80.2%,2698,60.8%
24,40,120,4800,300,500,900,600,3900,81.2%,3000,62.5%
25,47,141,5640,352,570,1026,600,4688,83.1%,3662,64.9%
26,54,162,6480,405,650,1170,600,5475,84.5%,4305,66.4%
27,61,183,7320,458,730,1314,600,6262,85.6%,4948,67.6%
28,68,204,8160,510,820,1476,600,7050,86.4%,5574,68.3%
29,75,225,9000,562,910,1638,600,7838,87.1%,6200,68.9%
30,83,249,9960,622,1000,1800,600,8738,87.7%,6938,69.7%
31,90,270,10800,675,1100,1980,600,9525,88.2%,7545,69.9%
32,97,291,11640,728,1200,2160,600,10312,88.6%,8152,70.0%
33,104,312,12480,780,1290,2322,600,11100,88.9%,8778,70.3%
34,111,333,13320,832,1380,2484,600,11888,89.2%,9404,70.6%
35,118,354,14160,885,1450,2610,600,12675,89.5%,10065,71.1%
36,125,375,15000,938,1500,2700,600,13462,89.8%,10762,71.8%

SHEET 2 — ARR (run-rate de saida) e margem
ano,mes_saida,empresas,MRR_saida_R$,ARR_runrate_R$,margem_so_pago_pct,usuarios_free,custo_free_anual_R$
1,12,10,1200,14400,43.8%,100,2160
2,24,40,4800,57600,81.2%,500,10800
3,36,125,15000,180000,89.8%,1500,32400

"SHEET 3 — CAC, LTV, PAYBACK por canal (churn base 5%/mes -> vida 20 meses)"
metrica,canal_network,canal_distribuidor,blended_Y1(80/20)
CAC_R$,1000,216,843
LTV_receita_R$,2400,2400,2400
LTV/CAC_receita,2.4x,11.1x,2.8x
LTV_contribuicao_R$,2250,2250,2250
payback_meses(contrib),8.9,1.9,7.5

CAC blended por ano (evolucao do mix de canais)
ano,%network,%distribuidor,CAC_blended_R$,LTV/CAC_blended_receita
1,80%,20%,843,2.8x
2,50%,50%,608,3.9x
3,30%,70%,451,5.3x

"SHEET 4 — SENSIBILIDADE A CHURN (ARPA R$120, base receita)"
churn_mes,vida_meses,retencao_anual,LTV_receita_R$,LTV/CAC_network,LTV/CAC_distribuidor
2%,50.0,78%,6000,6.0x,27.8x
3%,33.3,69%,4000,4.0x,18.5x
5% (BASE),20.0,54%,2400,2.4x,11.1x
8%,12.5,37%,1500,1.5x,6.9x
